average_clustering,density,number_of_edges,number_of_nodes,degree_assortativity_coefficient
0.0101106419957485,7.5607471168701185e-06,503455,258047,-0.0192196812770642
0.0123522202134688,7.707134509991782e-06,513318,258076,-0.0146966560465398
0.0145399986162729,8.61899455820091e-06,439918,225922,-0.0102699898034161
0.0145445433428443,8.93702319464823e-06,412674,214886,-0.009282208620085
0.0139125480223402,7.62795028086258e-06,459160,245346,-0.0154050372232012
0.0121848326802864,7.231507562277044e-06,499506,262819,-0.0162240813633456
0.0129596597442925,6.9105593166103e-06,541252,279862,-0.018556738831471
0.0136839166235168,7.265771887338154e-06,485735,258559,-0.0154032508075417
0.0133450554176887,7.282135102135882e-06,484204,257861,-0.0212978875597848
0.0149873499483697,6.4324766325687375e-06,555557,293884,-0.0114239619652183
0.0178987631717938,5.5537020794875466e-06,639663,339379,-0.0059025521600535
0.0250237690601265,6.346128067824715e-06,603077,308271,-0.003524349171013
0.0208219262210588,6.41543990789052e-06,579445,300534,-0.0141368677563319
0.0228072553546053,5.328554395708837e-06,685218,358600,-0.0087155655402838
0.0207140562397816,5.156780102323498e-06,711877,371547,-0.0162402001629787
0.0222289566928202,5.319871878523246e-06,717706,367302,-0.0058472680816046
0.018704145386123,4.7705571081373925e-06,801694,409940,-0.0093179386657232
0.0237327919810365,4.542323166853078e-06,820073,424901,-0.0104473276151482
0.0209819490472205,4.555968927414347e-06,818152,423767,0.0223770379800939
0.019581150248285,4.398596794032698e-06,846264,438628,0.0146033187445432
0.0197207282714062,4.07811921975505e-06,912002,472899,0.0285812685089914
0.0197487296458884,3.919301852822061e-06,921722,484949,0.0297432670916402
0.0172222277086458,4.881174529310155e-06,792371,402905,0.0408096908390976
0.0135499223636919,4.557782274643565e-06,790123,416362,0.0043906967916996
0.0133435186954378,4.25662159789822e-06,831807,442058,0.0365388038571247
0.0119278397323727,3.8126956019579904e-06,958674,501441,0.0587727707370649
0.0123262373958314,3.48679814988654e-06,937339,518484,-0.0009949898738254
0.017600847134671,4.178827063134858e-06,879688,458815,0.0081531121688378
0.0154577228235578,4.200547891660355e-06,877693,457108,0.0376027657938423
0.0140799492886452,4.423528538612786e-06,857390,440256,0.0758491043716876
0.0118071320852019,3.847427743101135e-06,1009382,512204,0.0878997945656506
0.0114455131646109,3.958519121948799e-06,929195,484493,0.0623063617984239
0.013881238698547,4.464331644687021e-06,826029,430150,0.0486668867694776
0.0132096442247255,4.313781756074694e-06,856932,445702,0.0233620347382212
0.0156907087966578,4.438865101408804e-06,815850,428716,0.0303889702715521
0.0121120216324504,5.171760515444917e-06,688870,364964,0.0447745169436222
0.0119247553601233,4.97816099639151e-06,693946,373361,-0.0061059719449615
0.0132047288815235,5.34956349424634e-06,649875,348543,-0.0072319932550525
0.0155806959531261,6.023923614216021e-06,544170,300558,-0.0038206746783428
0.0132808361291631,5.649590130909354e-06,625351,332701,-0.0133154109961772
0.0140744467182603,5.979329893275272e-06,578496,311046,-0.0083609659390969
0.0133059184546727,5.9024327406248005e-06,600308,318913,-0.0190209895836493
0.012792868650924,5.118297897841091e-06,707630,371827,-0.0089453146592321
0.0124526461045882,4.72730471526538e-06,783233,407042,-0.0013668079613946
0.0119821549692385,4.248026314551404e-06,853165,448150,-0.0198046690815871
0.0159082852724709,4.039328742917305e-06,876741,465888,-0.0115784241333067
0.0137898784468416,4.059749968469775e-06,858160,459764,-0.0167568998816495
0.0131794227321113,4.254943363816465e-06,805125,434996,-0.0171530309664525
0.0128531328521378,4.717474783318269e-06,772888,404766,-0.0435678092732394
0.0147538683628069,4.177539968557585e-06,863246,454577,-0.032105437965539
0.0127312209287212,4.405809830363163e-06,792057,424000,-0.0232792276644172
0.0142681203058559,4.394772848161748e-06,791997,424516,-0.0221903853213341
0.0132936819001646,4.491097973448819e-06,760120,411401,-0.0229949287775137
0.0125705850721068,4.168441732547148e-06,809255,440612,-0.0248628884194345
0.0125851178872043,4.0746886598599e-06,875248,463467,-0.0319034829432617
0.0137896668854488,4.730709200934492e-06,741186,395823,-0.0251437173762012
0.0118936990643523,3.893567085213398e-06,842754,465240,-0.0185946100264823
0.0108705304218629,3.649583364324392e-06,889979,493820,-0.022764414099242
0.008878805472321,2.8728815457470987e-06,1119594,624269,-0.025101813097886
0.0076501443171618,2.64457881815069e-06,1209759,676350,-0.0316625904307253
0.0082450676217897,3.092453933640002e-06,1051403,583087,-0.0247357425521735
0.0086650456986703,3.714029125082937e-06,877302,486018,-0.0286292362799268
0.0090375558825588,3.601173960548548e-06,932686,508916,-0.0294273478267082
0.0100546690779891,4.7930700051091625e-06,724213,388711,-0.0284868270316641
