Date,Close,Open,High,Low,Vol,Change %,average_clustering,density,number_of_edges,number_of_nodes,degree_assortativity_coefficient
7-Nov-10,0.3,0.4,0.5,0.1,341460.0,-0.29,0.0074548658777515,2.9012294078308782e-05,83901,53777,-0.0342585661394527
14-Nov-10,0.3,0.3,0.3,0.2,146410.0,0.0,0.0050571396101364,3.131308710620072e-05,81415,50991,-0.0147054715207112
21-Nov-10,0.3,0.3,0.3,0.3,73380.0,0.0,0.0043213514039311,3.126867610145768e-05,76046,49316,0.0141049336366575
28-Nov-10,0.2,0.3,0.3,0.2,136930.0,-0.28,0.0068882426087726,2.7828533289361982e-05,90315,56969,-0.0540242954167851
5-Dec-10,0.2,0.2,0.2,0.2,66890.0,0.0,0.0064790288552684,2.731113660556557e-05,90881,57686,-0.0282287908286876
12-Dec-10,0.2,0.2,0.3,0.2,37500.0,0.0,0.0055697249101868,2.938139011669976e-05,76156,50912,-0.000225776409106
19-Dec-10,0.2,0.2,0.3,0.2,40100.0,0.0,0.0063743921357602,2.693356267294541e-05,85118,56217,-0.0096989907020586
26-Dec-10,0.3,0.2,0.3,0.2,62380.0,0.2,0.0045836144898547,2.8235704288134143e-05,79169,52952,-0.0086964978702854
2-Jan-11,0.3,0.3,0.3,0.3,56700.0,0.0,0.0049278816703327,2.358523618948477e-05,92645,62675,0.0401496697250584
9-Jan-11,0.4,0.3,0.4,0.3,97030.0,0.2,0.0066967439431071,2.23661200227899e-05,100415,67005,0.0100711842158228
16-Jan-11,0.4,0.4,0.4,0.3,82880.0,0.15,0.0052579156837554,2.229431511895897e-05,99809,66910,0.0186083190505614
23-Jan-11,0.4,0.4,0.4,0.4,64420.0,0.0,0.0051659528976453,2.224722702784592e-05,102184,67773,0.0029288649737156
30-Jan-11,0.9,0.4,0.9,0.4,177620.0,1.1,0.0053988322037991,2.17649460149711e-05,105944,69769,-0.0091409407571982
6-Feb-11,1.1,0.9,1.1,0.8,111640.0,0.17,0.0078711930983842,2.1638120038477705e-05,110878,71584,0.1087804291749288
13-Feb-11,0.9,1.1,1.1,0.8,70900.0,-0.12,0.0061054750546475,1.991418328761435e-05,121629,78152,0.1300303360487709
20-Feb-11,1.0,0.9,1.0,0.8,53110.0,0.0,0.0052120312415548,2.2093284108865737e-05,106647,69478,0.0229642112010343
27-Feb-11,0.9,1.0,1.0,0.8,71260.0,0.0,0.0055473715597784,2.2389135262233348e-05,108100,69486,0.0849849903294075
6-Mar-11,0.9,0.9,0.9,0.8,54390.0,0.0,0.0062401816028977,2.379528209221152e-05,105148,66475,0.0385491286765391
13-Mar-11,0.8,0.9,0.9,0.7,47850.0,-0.17,0.0051131563399658,2.1470593370967083e-05,107559,70779,0.0434176318843655
20-Mar-11,0.9,0.8,0.9,0.7,65510.00000000001,0.12,0.004639495089207,2.184098503525888e-05,104702,69238,0.0637726859906009
27-Mar-11,0.8,0.9,0.9,0.8,37890.0,-0.09,0.006215338939523,2.2433293712540485e-05,108947,69689,0.1612630858232885
3-Apr-11,0.7,0.8,0.8,0.6,94680.0,-0.07,0.0059021101082276,2.1264996122026107e-05,103549,69782,0.0190998672350395
10-Apr-11,1.0,0.7,1.1,0.7,222100.0,0.44,0.0066445514229577,2.028275779524824e-05,120027,76927,0.0033888599125014
17-Apr-11,1.7,1.0,2.0,1.0,230940.0,0.62,0.0071127385262102,1.9761928723208736e-05,121361,78366,0.0534240933933816
24-Apr-11,3.5,1.7,4.2,1.5,315370.0,1.06,0.0060769520043789,1.997930915123269e-05,122649,78351,0.0627704311972454
1-May-11,3.6,3.5,3.9,2.5,154500.0,0.04,0.0078214855609846,1.6055563100996354e-05,181080,106200,0.1338502722874009
8-May-11,7.2,3.6,8.9,3.6,292560.0,0.98,0.0082761041170743,1.2545071244313498e-05,249138,140924,0.0642429072193609
15-May-11,6.1,7.2,8.5,5.6,223190.0,-0.15,0.0059213204698243,9.17839382789425e-06,370405,200889,-0.0002073450416482
22-May-11,8.3,6.1,9.3,6.0,207810.0,0.36,0.0055517878384492,8.741578826863959e-06,392098,211789,-0.0109071116825207
29-May-11,18.9,8.3,18.9,8.1,272940.0,1.28,0.0064626551694997,9.094060754901472e-06,380567,204568,-0.0079614465598261
5-Jun-11,14.6,18.9,31.9,13.0,515020.0,-0.22,0.0048650451152733,7.091431893522906e-06,489387,262700,-0.0139042826678053
12-Jun-11,16.9,14.6,25.0,10.3,481850.0,0.15,0.0049750838544517,5.817360670607075e-06,670232,339430,-0.0357562764338353
19-Jun-11,17.5,16.9,18.9,16.9,30180.0,0.04,0.0089400180547344,8.563228579407842e-06,447957,228718,-0.0406334016528489
