"Date,",Price,Open,High,Low,Vol.,Change %
9/4/2011,4.8,8.5,8.5,4.2,476410.0,-43.75
9/11/2011,4.8,4.8,7.4,4.4,413360.0,0.0
9/18/2011,5.5,4.8,6.8,4.7,384640.0,14.68
9/25/2011,5.0,5.5,5.5,4.6,199840.0,-8.04
10/2/2011,4.0,5.0,5.1,3.8,253060.0,-20.28
10/9/2011,3.8,4.0,4.4,3.7,247140.0,-4.24
10/16/2011,3.2,3.8,3.9,2.0,675350.0,-17.71
10/23/2011,3.6,3.2,3.8,2.4,450690.0,13.29
10/30/2011,3.0,3.6,3.7,2.8,268870.0,-17.04
11/6/2011,3.0,3.0,3.2,2.8,252920.0,2.02
11/13/2011,2.2,3.0,3.0,2.0,806160.0,-27.39
11/20/2011,2.5,2.2,2.6,2.2,363450.0,12.27
11/27/2011,2.8,2.5,3.1,2.4,609050.0,12.96
12/4/2011,3.0,2.8,3.1,2.6,388450.0,9.32
12/11/2011,3.2,3.0,3.4,3.0,329700.0,4.92
12/18/2011,3.9,3.2,4.5,3.2,478620.0,23.12
12/25/2011,4.7,3.9,5.0,3.8,457490.0,19.8
1/1/2012,6.8,4.7,7.2,4.6,1020000.0,44.28
1/8/2012,6.8,6.8,7.2,5.8,757500.0,-0.88
1/15/2012,6.2,6.8,7.2,4.6,871360.0,-8.44
1/22/2012,5.6,6.2,6.4,5.1,560590.0,-8.9
1/29/2012,5.9,5.6,6.2,5.3,387000.0,4.26
2/5/2012,5.6,5.9,6.0,5.3,720250.0,-4.6
2/12/2012,4.2,5.6,5.8,3.9,1080000.0,-24.64
2/19/2012,4.8,4.2,5.2,4.2,595590.0,13.03
2/26/2012,4.6,4.8,5.1,4.5,403660.0,-3.35
3/4/2012,4.8,4.6,5.1,4.6,334240.0,4.77
3/11/2012,5.2,4.8,5.4,4.8,367600.0,8.07
3/18/2012,4.7,5.2,5.3,4.5,475800.0,-10.34
3/25/2012,4.9,4.7,4.9,4.3,365420.0,4.91
4/1/2012,4.7,4.9,5.1,4.7,419100.0,-4.48
