,0,1
0,2996247,3001940
1,1388797,3023409
2,1018967,3031658
3,3036417,3031107
4,2997526,2922279
5,2937223,2631258
6,2896604,2896964
7,2606123,2654391
8,2992765,2998808
9,2211645,3001042
10,3055509,3056106
11,2972125,1971715
12,1874816,2953269
13,2999368,3000539
14,528628,2965402
15,2606625,2715251
16,2885149,2891030
17,2976424,2832064
18,2924252,2949620
19,3034162,3034205
20,3076672,3076628
21,2925026,2925205
22,2902249,2085286
23,2944981,2684442
24,2969296,3008601
25,949765,2960476
26,1594430,3059448
27,3040576,3040175
28,2890477,1573661
29,2964884,739831
30,2967828,3000682
31,1971957,2982297
32,2905483,2968619
33,3047295,3058612
34,2937834,2939456
35,2771191,3009976
36,2891947,2889764
37,2941752,2941999
38,3047295,3059196
39,2804259,2880196
40,2936425,2936555
41,290739,3000145
42,2876238,2875216
43,3018107,3017228
44,1943690,2883832
45,3007257,3006811
46,2943538,3018674
47,2629056,2869167
48,3048911,3049045
49,2715888,2889013
50,778272,2830876
51,2986005,1722845
52,3000224,3003682
53,2301874,2867459
54,2898607,2898815
55,2672295,2983636
56,2883366,2883471
57,2976433,2607490
58,2886714,2884890
59,2963812,3006497
60,2190561,3052043
61,2880736,2880787
62,2001762,3028384
63,2775736,3031017
64,1542515,3076664
65,2928989,2695113
66,2927657,2874465
67,1191380,2516335
68,2958562,2684481
69,3055363,3054602
70,2967828,3020598
71,2941077,2940818
72,2905774,2907842
73,3047714,3048338
74,2822080,2926943
75,2933471,2932465
76,3000505,2957444
77,3044129,2673788
78,2994209,3024728
79,3061501,3061107
80,1685932,2901736
81,2967305,2968656
82,2905503,2905892
83,2913767,2955421
84,2904806,853694
85,2898782,2598408
86,2536900,2947425
87,2932854,2957430
88,2876727,3033337
89,3023305,3023156
90,1908449,2449061
91,2341683,2897674
92,2957796,2369806
93,1177645,3001641
94,2969296,3017125
95,2898729,1870621
96,3056551,3056514
97,2943642,2942688
98,2870598,2913945
99,3039398,3039272
100,2911385,2911649
101,399918,2958775
102,2948241,1334332
103,2957253,2885726
104,2981213,2976201
105,1144767,452389
106,2494751,2841616
107,2816845,2943685
108,2958823,2957691
109,2940482,2931663
110,2668276,3006042
111,3022673,3022469
112,2517147,2465485
113,2908924,2908928
114,3019746,2444270
115,1148757,2949731
116,2966098,2966203
117,2439396,2916212
118,2755958,2913980
119,2900072,2896238
120,3048880,3050671
121,2836389,2892251
122,2934045,2908138
123,2877468,2876502
124,2298449,2887177
125,462866,2679273
126,2651415,2935855
127,2859739,2879226
128,2782953,2939966
129,3041309,3042600
130,2654496,2944517
131,2983869,922258
132,2927129,2896277
133,2914101,2917681
134,1971957,813350
135,2812496,2914886
136,2925156,2820244
137,2922333,2927350
138,2967828,2998256
139,2895287,2737167
140,3012181,3023618
141,3039820,3037836
142,2924047,2922687
143,2938909,1373942
144,2998692,3012165
145,2975748,2378776
146,2397548,2986753
147,2907390,2914550
148,2485128,2085227
149,3009094,2945541
150,2720207,2964239
151,2885367,1524343
152,2939728,2941782
153,3012160,3050381
154,2967328,2956822
155,3067286,3069901
156,2803150,3053338
157,2870713,2914374
158,2907390,3022252
159,1762295,3071219
160,2878989,2830024
161,1553360,3076904
162,2859800,2878819
163,1513739,2973322
164,586846,2948154
165,2833772,2882392
166,2053139,3067857
167,822769,2894344
168,2915095,2316492
169,2928963,2937844
170,2339456,3007173
171,2289487,3006182
172,2878495,2306272
173,2909686,2881956
174,2977453,2987680
175,2789831,2940222
176,2803150,3002498
177,2948207,2935590
178,2879975,2869608
179,1275486,3073312
180,3043033,2929395
181,2485128,2888191
182,196785,3072103
183,2880720,2968038
184,2906416,2906414
185,2995455,2995487
186,3064066,3058024
187,2954402,2954036
188,2900928,290739
189,3030285,3014601
190,2906736,2907722
191,2910354,2983971
192,2993985,2993980
193,2980318,2980335
194,3065236,3065396
195,2366158,2931478
196,2894145,2944073
197,3004362,2317247
198,2884867,2871564
199,2953710,2957053
200,2942749,2942582
201,2896647,2896855
202,2298449,2963566
203,1707100,2947339
204,2350007,3005751
205,2908724,2903030
206,2965024,3025869
207,2937396,1585815
208,65393,1754508
209,2993902,166119
210,3061937,3060930
211,2968170,2990720
212,2810854,3013413
213,1408436,2983166
214,2886199,2938712
215,3008152,3008409
216,3001585,3004768
217,2959838,3055641
218,3026791,3026721
219,2429665,3030588
220,2923350,3076169
221,2941894,2857241
222,2390361,2923145
223,2984211,2985331
224,2961373,2961372
225,3067271,3067267
226,2397548,2933363
227,2852475,2890185
228,520052,2987855
229,2976771,2953110
230,2885231,2891710
231,2888906,2858010
232,2973006,3044951
233,2949295,2949347
234,2966023,2772088
235,1790634,2041647
236,2884666,2747943
237,2202947,3014348
238,2886992,1427576
239,2908616,2985067
240,2397548,2869090
241,2949529,2951221
242,3057542,3057471
243,2907091,2885796
244,2953404,2952762
245,-2,2904522
246,2897575,2925441
247,2962951,2961854
248,2644759,3006084
249,2910666,2924812
250,2957631,2959511
251,2633119,2921947
252,760157,2899143
253,2931465,2930458
254,3064375,3055198
255,2659757,2830876
256,2670880,3076738
257,2536900,810976
258,1650541,2896202
259,2588311,3017210
260,402828,2904674
261,2978682,1573167
262,2922572,2922457
263,1875449,3014287
264,2880210,2880375
265,2352405,2989645
266,3016487,3016490
267,2772983,2853518
268,2982486,2916327
269,-2,3070068
270,3031803,3030741
271,1649164,2962936
272,2843997,2898591
273,289805,2969601
274,2945020,1666178
275,2953512,2311187
276,2888829,2887892
277,2921089,2625896
278,2940518,2940468
279,1981150,3046495
280,2948462,2948415
281,2554828,2892926
282,2970977,2914725
283,2691518,2989910
284,2931228,2931214
285,2600468,3047267
286,3017552,922468
287,3047100,3047085
288,2818215,2818215
289,1408436,2617001
290,3012190,3051240
291,1101545,2887766
292,2971926,3000236
293,2673550,3057875
294,2953268,2984940
295,2876482,2880775
296,1689018,2961787
297,2943339,2943436
298,2873863,2879117
299,2312694,3067198
300,2882138,2656311
301,2886476,2886807
302,2661595,2916163
303,3015712,3016083
304,1114578,2914416
305,2225972,801003
306,3043853,3044235
307,2935987,2925329
308,2880126,2880041
309,3023621,3023138
310,2895889,2895217
311,2906090,2949895
312,232238,2952423
313,2975743,2923144
314,2959789,1003320
315,2984729,3032923
316,2960107,2707516
317,2994130,2988151
318,3001357,3007922
319,3028161,3028163
320,3011822,3011631
321,901998,2927966
322,2525729,2888976
323,2103897,2998642
324,2901815,1877867
325,2661407,2346631
326,2882514,2742683
327,3076322,3019967
328,2969296,3067988
329,2968906,2969274
330,2986296,2335051
331,2877194,2932395
332,2536900,569352
333,3023645,3044796
334,2058863,3012448
335,2682947,3014829
336,1760890,2918258
337,2894266,2850452
338,2988370,2987460
339,2935769,2941203
340,2979019,2979502
341,2686046,2808234
342,3070586,3067873
343,2855478,2643449
344,2673788,3044136
345,2088758,1729506
346,3041448,3041258
347,2965762,2803156
348,3003917,2972427
349,2880152,2880186
350,1800695,3060549
351,2904961,2904589
352,2928792,2924727
353,3038789,569052
354,2901372,2912077
355,2073061,2912839
356,3071639,3070923
357,2895848,2112576
358,2997180,2995503
359,3020951,2784437
360,1408436,3034754
361,2992279,2993230
362,3042395,3042072
363,2485128,586292
364,2931612,2904829
365,2850882,3016917
366,2912193,2921478
367,2772517,2903614
368,2937419,2937280
369,2914664,2913839
370,2905202,2905946
371,2970300,2970071
372,3062677,3062963
373,359963,2962242
374,2868259,2889188
375,3071441,3071449
376,2252032,2923509
377,2893238,2893306
378,2959303,2264175
379,3032530,639461
380,3033182,2991520
381,3010002,2277296
382,3039855,3039861
383,2988710,3056654
384,2148207,2971370
385,2257061,2886316
386,2878357,2824581
387,2924740,2924684
388,2952228,2976388
389,1543958,3038387
390,2816010,2915679
391,3061304,3060017
392,2720913,2941083
393,2921358,2856717
394,2682947,2948704
395,2913523,2915188
396,2882096,2996565
397,2876972,2863691
398,2397548,2889973
399,1705514,2838712
400,3047068,3057054
401,1977268,2928511
402,2886971,2887648
403,2822257,2938510
404,2536900,1033238
405,3017683,3025518
406,1665286,2898670
407,2829207,2924476
408,1129106,2911584
409,3069816,3070412
410,2103897,2967680
411,2854395,2885949
