,0,1
0,25760136,25760434
1,25518513,25516355
2,25903789,25903780
3,25404994,25397728
4,25879542,25886968
5,25695772,25279350
6,25782319,25789409
7,25697847,26203216
8,26303856,26297677
9,26985441,26972459
10,26892181,26892142
11,26948386,26948528
12,25815954,25937889
13,26418831,26315159
14,26075690,26073816
15,27279256,27265852
16,27024413,27029053
17,20898223,26585454
18,21491248,27144042
19,19293769,19293769
20,24229660,26566570
21,26606074,26609853
22,26457115,25526413
23,18136868,25658292
24,26336400,26298883
25,21491248,25675766
26,26065007,26066126
27,26209771,26209156
28,26867165,26867736
29,27279707,27279428
30,27028365,26978832
31,20629050,25724611
32,26315163,26401944
33,25725105,25725086
34,24197437,25550322
35,25913404,26751853
36,26020483,26020331
37,22987524,19211368
38,16486816,26659858
39,25273725,25953053
40,25878309,27233912
41,25856847,25831348
42,26053154,26053188
43,25321574,25368344
44,25871246,25839606
45,27124829,27126166
46,23577686,25872406
47,19070011,26799579
48,26905595,26907146
49,26226976,26227553
50,27010338,27010351
51,6136472,25741700
52,27232196,27232811
53,27279319,27269049
54,25995011,25992147
55,26914173,26914188
56,26328944,26328945
57,26428679,26425238
58,16759711,25874313
59,25415250,25414885
60,26069936,26078782
61,25811289,25689829
62,26898689,26898858
63,25407302,19094932
64,25470710,21120567
65,26314384,26316423
66,21346785,25400348
67,27038101,27038864
68,6860532,24258531
69,27141269,27140322
70,15839861,27106718
71,25806915,25813127
72,25903195,25908012
73,25825387,25827593
74,27231483,27245818
75,26803281,26803311
76,25250033,25223589
77,25908049,25802583
78,26283050,26315847
79,21327455,25280183
80,26768282,26602644
81,26814500,26808758
82,27279755,27372933
83,27265350,27300037
84,27183396,27195433
85,26392388,26393655
86,26996073,26995079
87,26190256,26187889
88,23577686,26260241
89,25552271,25546668
90,26517341,26539317
91,26730492,26731063
92,25689414,25700383
93,25640366,25671165
94,25856068,26023867
95,27184970,27184976
96,25404147,25398716
97,24237538,27154718
98,26809124,27254200
99,26888116,26881308
100,27174531,27173569
101,26965639,25934277
102,25594641,25417562
103,26210446,20777312
104,25455908,25455905
105,26564755,26564758
106,25613869,25612227
107,25894586,26210874
108,25348984,26306171
109,26918871,26921266
110,27105717,27106170
111,26046076,14409251
112,26018377,26019165
113,25918370,25917400
114,7237104,26632316
115,23378758,26249423
116,26451510,26566675
117,26577020,26573605
118,26099666,26099252
119,25599170,25499774
120,27032430,27032457
121,27279701,27372914
122,26799006,26798957
123,26898419,23921944
124,26905580,26906240
125,14011859,18781819
126,26795186,26722815
127,26722570,26722572
128,26919115,26932584
129,20463375,27111020
130,26427582,20456763
131,26041140,26042722
132,27269689,27267104
133,27201995,27201976
134,27148528,27148572
135,25312527,25099786
136,26852521,26850175
137,26825039,26830317
138,27174291,27173689
139,27279715,27308160
140,25851854,25832304
141,27251166,27249299
