,0,1
0,-2,60198
1,57712,46608
2,-2,59212
3,50498,59065
4,-2,57638
5,-2,61440
6,-2,57449
7,-2,60612
8,59053,49700
9,-2,59222
10,56855,61445
11,-2,61378
12,-2,58252
13,-2,61013
14,-2,58792
15,58522,57047
16,59052,48036
17,56554,29297
18,-2,59589
19,-2,61645
20,-2,58084
21,-2,61712
22,-2,60061
23,-2,62209
24,-2,57862
25,-2,59191
26,60159,59999
27,50215,59790
28,59052,59391
29,-2,60995
30,-2,59937
31,-2,57513
32,-2,62586
33,-2,59258
34,50415,50415
35,60784,61318
36,50415,57309
37,57409,57575
38,-2,59809
39,58160,58743
40,-2,59958
41,58160,59055
42,-2,62343
43,-2,60734
44,50498,57336
45,-2,62605
46,62229,50648
47,50215,59204
48,49871,50179
49,-2,61855
50,56390,58440
51,-2,58606
52,58522,59752
53,-2,60663
54,-2,61899
55,-2,59597
56,-2,58690
57,-2,58656
58,-2,61071
59,-2,60078
60,-2,57779
61,-2,61739
62,58156,61884
63,-2,57939
64,49442,50157
65,-2,62282
66,-2,61620
67,58328,51673
68,60678,61317
69,-2,57620
70,50215,61605
71,-2,61237
72,58757,49317
73,-2,57606
74,-2,62089
75,55943,58890
76,50215,60512
77,-2,59234
78,58160,62343
79,-2,57610
80,59052,55932
81,58156,62058
82,61594,62269
83,59052,51008
84,-2,58287
85,-2,58743
86,-2,58386
87,50619,57643
88,62183,52288
89,50813,60536
90,-2,57830
91,58289,58294
92,56883,59925
93,-2,58573
94,-2,59413
95,60390,60226
96,-2,59755
97,50215,61693
98,61942,62223
99,-2,58894
100,-2,58840
101,-2,60895
102,35379,60427
103,58328,51575
104,-2,60306
105,58160,59720
106,-2,62184
107,-2,61691
108,-2,62544
109,-2,58576
110,-2,60565
111,46103,61047
112,-2,59955
113,-2,57986
114,-2,61798
115,61255,60614
116,-2,62398
117,-2,57442
118,45587,57593
119,-2,62236
120,-2,61903
121,57712,57067
122,-2,57800
123,-2,60476
124,60556,60346
125,-2,58946
126,58423,58055
127,57498,57634
128,-2,59701
129,-2,62496
130,-2,61547
131,42790,58879
132,-2,61383
133,59053,55824
134,58612,59702
135,-2,58112
136,59692,59431
137,-2,61162
138,-2,59526
139,59052,57108
140,59287,51305
141,-2,59933
142,58328,57413
143,50215,59268
144,49871,51142
145,58851,51652
146,-2,58394
147,60444,60445
148,-2,58331
149,-2,60459
150,-2,60666
151,-2,61648
152,-2,60020
153,57118,61187
154,60555,60317
155,50215,57780
156,50813,60203
157,-2,60350
158,55743,58329
159,50215,62427
160,-2,61110
161,59053,49443
162,50215,61784
163,-2,58352
164,-2,58739
165,-2,59021
166,-2,60611
167,50215,61623
168,57118,50191
169,61424,61600
170,59052,55637
171,-2,61990
172,-2,57467
173,50215,61211
174,-2,59545
175,58964,59249
176,-2,60804
177,-2,61282
178,-2,62460
179,58156,62321
180,50619,61178
181,58490,58177
182,58156,61649
183,-2,58401
184,59624,60259
185,50215,60246
186,-2,62565
187,-2,57644
188,-2,62531
189,50372,57304
190,-2,62364
191,50498,60290
192,-2,59049
193,61255,60968
194,59053,57617
195,-2,61165
196,-2,60464
197,-2,57943
198,56810,40700
199,-2,60771
200,-2,59656
201,-2,61026
202,50215,61441
203,-2,57864
204,59053,49590
205,-2,58808
206,-2,58961
207,46092,59304
208,58160,58554
209,-2,62194
210,58757,50171
211,-2,57582
212,50215,61157
213,41469,58772
214,-2,61480
215,-2,58381
216,57443,57712
217,-2,60072
218,58329,56883
219,59053,47411
220,-2,61506
221,50293,59089
222,-2,61765
223,-2,59834
224,-2,62222
225,-2,60986
226,-2,61871
227,-2,58893
228,-2,62281
229,58156,61151
230,-2,61951
231,-2,60133
232,-2,58201
233,-2,59265
234,-2,62147
235,-2,61643
236,60538,51306
237,56810,57795
238,61896,60264
239,-2,58907
240,-2,61016
241,-2,59430
242,-2,59693
243,-2,59873
244,57536,57054
245,-2,61839
246,-2,58718
247,59624,60119
248,-2,61637
249,58156,59573
250,-2,59143
251,-2,58000
252,-2,61215
253,59865,59380
254,-2,60279
255,-2,60483
256,59053,48279
257,59615,57482
258,50215,60853
259,-2,59484
260,58156,61811
261,-2,59830
262,50215,60459
263,58329,49836
264,-2,60233
265,49910,51743
266,59624,60470
267,62182,57307
268,50215,57272
269,55885,57485
270,58757,56225
271,-2,60664
272,-2,57823
273,50813,62292
274,-2,57654
275,58329,57477
276,58436,58625
277,-2,57741
278,-2,60223
279,-2,60149
280,-2,62110
281,57839,50619
282,-2,58844
283,50813,59635
284,-2,62462
285,-2,59848
286,62099,61349
287,62159,62317
288,-2,58778
289,50372,60633
290,50215,59474
291,58522,60521
292,49442,49959
293,-2,58010
