,0,1
0,-2,29185
1,-2,29461
2,-2,28524
3,-2,32167
4,-2,32067
5,-2,28450
6,-2,29667
7,-2,28693
8,-2,32128
9,-2,28474
10,-2,30903
11,-2,29555
12,-2,28707
13,-2,32235
14,-2,29064
15,-2,30998
16,-2,29716
17,28599,17702
18,-2,29957
19,-2,30104
20,-2,28639
21,-2,31672
22,-2,31635
23,-2,30408
24,-2,29782
25,-2,28635
26,-2,31252
27,-2,29209
28,-2,28692
29,-2,29897
30,-2,31931
31,-2,30222
32,-2,31051
33,-2,31776
34,-2,28564
35,-2,29819
36,-2,32146
37,-2,31200
38,-2,30193
39,-2,32229
40,-2,31750
41,-2,31359
42,29773,27797
43,-2,32122
44,-2,31650
45,-2,28598
46,-2,30216
47,-2,29506
48,-2,28948
49,-2,31082
50,-2,31099
51,28600,21420
52,-2,28862
53,-2,29421
54,-2,28853
55,28599,10614
56,-2,29195
57,-2,31947
58,-2,29091
59,-2,29855
60,-2,30462
61,29773,28296
62,28907,29411
63,-2,31509
64,-2,31653
65,-2,30767
66,-2,29203
67,-2,30973
68,-2,29490
69,-2,32202
70,-2,31867
71,28599,15144
72,-2,29569
73,-2,28825
74,-2,29304
75,-2,29068
76,-2,31697
77,-2,31079
78,-2,28660
79,-2,31376
80,-2,31351
81,-2,30275
82,-2,29313
83,-2,30965
84,-2,29618
85,28600,16582
86,-2,29673
87,-2,31131
88,-2,29739
89,28599,20227
90,-2,31477
91,-2,32187
92,-2,29051
93,-2,28700
94,-2,29413
95,-2,30208
96,-2,29633
97,-2,29581
98,-2,31486
99,-2,28484
100,-2,28732
101,28870,27859
102,-2,32091
103,-2,30174
104,29229,29967
105,-2,32033
106,29266,29814
107,-2,30348
108,-2,28640
109,-2,31886
110,-2,30191
111,-2,32051
112,-2,28510
113,-2,32056
114,-2,30125
115,-2,31146
116,29773,28795
117,-2,31856
118,-2,31622
119,-2,28780
120,-2,29445
121,-2,30951
122,-2,29090
123,-2,30909
124,28599,24192
125,-2,31497
126,-2,28672
127,-2,29389
128,-2,29034
129,-2,29806
130,28600,21034
131,-2,29085
132,-2,31961
133,-2,31977
134,-2,31538
135,-2,28804
136,-2,30565
137,29773,28858
138,28599,25334
139,28599,20377
140,-2,31845
141,-2,30175
142,-2,30730
143,29773,29193
144,-2,31212
145,-2,31967
146,-2,29258
147,-2,31638
148,-2,28739
149,-2,30233
150,-2,31782
151,-2,30386
152,28907,28910
153,-2,30448
154,-2,30190
155,-2,30161
156,-2,30712
157,-2,29222
158,-2,30863
159,-2,29784
160,-2,30437
161,-2,30051
162,-2,29326
163,-2,28749
164,-2,29030
165,-2,30692
166,-2,30318
167,-2,29172
168,-2,31664
169,-2,32200
170,-2,29911
171,-2,30371
172,-2,30609
173,-2,30082
174,-2,32125
175,29773,29613
176,-2,31446
177,-2,29998
178,-2,30830
179,-2,31987
180,-2,31796
181,29773,28847
182,28599,28067
183,-2,30086
184,-2,31161
185,-2,30607
186,28599,11367
187,-2,29462
188,-2,32198
189,-2,29974
190,-2,32180
191,-2,30743
192,-2,31953
193,-2,32078
194,-2,31779
195,-2,31413
196,-2,29562
197,30671,31874
198,-2,32199
199,-2,28717
200,-2,31284
201,-2,31980
202,-2,28617
203,-2,28854
204,-2,30232
205,-2,29763
206,-2,28469
207,-2,30741
208,29773,28626
209,29773,28279
210,-2,29194
211,-2,29760
212,-2,31398
213,-2,30297
214,-2,30586
215,-2,29565
216,-2,29570
217,-2,31759
218,-2,29362
219,28599,22058
220,-2,29449
221,-2,28751
222,-2,31430
223,-2,31341
224,-2,29823
225,-2,30326
226,-2,29607
227,-2,31372
228,-2,31057
229,-2,31391
230,-2,29033
231,-2,29409
232,-2,31508
233,-2,28974
234,-2,28585
235,-2,31634
236,29229,28994
237,-2,28606
238,-2,30748
239,-2,29247
240,-2,31582
241,-2,28940
242,-2,29578
243,-2,29353
244,-2,30808
245,-2,30489
246,-2,29082
247,-2,28951
248,-2,31264
249,-2,31227
250,29773,27918
251,-2,30770
252,-2,29509
253,-2,29334
254,28600,26064
255,-2,29601
256,-2,28461
257,-2,28529
258,-2,30091
259,-2,30912
260,-2,31876
261,28600,25893
262,-2,29431
263,-2,30257
264,-2,31426
265,-2,29538
266,-2,29865
267,-2,30588
268,28600,19177
269,29773,28443
270,29773,28664
271,-2,29060
272,-2,28516
273,-2,31307
274,-2,29227
275,-2,31066
276,-2,30523
277,-2,31362
278,-2,28831
279,29984,29719
280,-2,28636
281,29773,27520
282,-2,30566
283,-2,30037
284,-2,28925
285,-2,29177
286,-2,28761
287,-2,29268
288,-2,30467
289,-2,28496
290,29773,27912
291,-2,30673
292,-2,29062
293,-2,30974
294,28907,29248
295,-2,31960
296,-2,29361
297,28600,20109
298,29773,28225
299,-2,30765
300,28600,19924
301,29773,28733
302,-2,30151
303,-2,31024
304,-2,31018
305,28907,28788
306,-2,29713
307,29773,29060
308,-2,30336
309,-2,29476
310,-2,30220
311,-2,29465
312,-2,28998
313,28599,15428
314,28907,29383
315,-2,32137
316,-2,28513
317,29773,27612
318,-2,31507
319,-2,31995
320,-2,32224
321,-2,31108
322,-2,28470
323,-2,29635
324,29356,28907
325,-2,31595
326,29773,29473
327,28870,28283
328,-2,29031
329,-2,31232
330,29773,29338
331,29773,28905
332,-2,30201
333,-2,29536
334,-2,28965
335,-2,32135
336,-2,31378
337,-2,31050
338,-2,29548
339,-2,30902
340,-2,31106
341,-2,30709
342,-2,29124
343,-2,28551
344,28599,18698
345,28870,27626
346,29773,27960
347,-2,30695
348,-2,29719
349,-2,32239
350,-2,29812
351,-2,32194
352,-2,31387
353,-2,29183
354,-2,29215
355,-2,30466
356,-2,30987
357,-2,31091
358,-2,29752
359,-2,30616
360,29773,27549
361,-2,30531
362,29984,29680
363,29773,28065
364,-2,29730
365,-2,30277
366,28600,12377
367,-2,31383
368,-2,29511
369,-2,31643
370,-2,29691
371,-2,31919
372,-2,31009
373,28870,28050
374,-2,31110
375,-2,31589
376,-2,28637
377,-2,31013
378,-2,30387
379,-2,29954
380,29773,28547
381,-2,31863
382,-2,28990
383,-2,30421
384,-2,29686
385,-2,29251
386,-2,31012
387,-2,30073
388,28716,28869
389,-2,28934
390,-2,29009
391,-2,28973
392,-2,31116
393,-2,30978
394,29689,29984
395,-2,30632
396,-2,32196
397,-2,28638
398,28600,27537
399,-2,30926
400,29773,27629
401,-2,30365
402,29773,29446
403,-2,31724
404,-2,28863
405,-2,30308
406,-2,31706
407,-2,28814
408,-2,30716
409,29773,27897
410,-2,28750
411,-2,31420
412,-2,28525
413,-2,31661
414,-2,28718
415,-2,31452
416,-2,30166
417,-2,30521
