,0,1
0,1380750,1364255
1,1115907,1117160
2,922019,1140626
3,1221811,1221814
4,1239417,1239721
5,939527,1112466
6,852196,1242622
7,989243,989084
8,1334396,1334391
9,922019,1038443
10,1227269,1211354
11,1012611,1012480
12,750315,949370
13,1206346,1063969
14,1346998,1344783
15,1240239,1239473
16,1264971,1275403
17,1397180,1203801
18,983164,983804
19,1202340,1243577
20,138776,1256065
21,929789,811983
22,850699,948001
23,1042035,1042525
24,1058672,1058268
25,1116472,634377
26,1159510,1175994
27,1121658,1121655
28,1277488,1279436
29,860407,474732
30,1033682,1033684
31,1215522,1224395
32,1137211,546503
33,1137137,845362
34,979031,978500
35,817228,1319127
36,292245,825203
37,973120,984005
38,1127465,1127464
39,1366356,1019908
40,1020696,1105857
41,1226936,563089
42,962843,611544
43,1142413,1258232
44,1142413,1399042
45,1137211,839011
46,964977,1058850
47,582892,1242113
48,1038232,1038010
49,1203105,1203208
50,1077314,1076828
51,1122595,1209025
52,1391371,227449
53,1242685,676563
54,1233867,1232516
55,1122020,560292
56,1291013,1308693
57,1295694,1295516
58,922019,1041576
59,929952,1061234
60,1319896,1320586
61,1314917,1315313
62,1142413,1297331
63,1140751,1384652
64,960132,1301412
65,1280799,1280210
66,929184,1184228
67,1005186,1042046
68,944725,925033
69,1142241,1143256
70,1105216,1105389
71,328077,1134300
72,934327,808899
73,1409783,1380124
74,996206,523208
75,1025267,1025776
76,528468,858739
77,922019,1036788
78,1194548,1196823
79,328077,594224
80,1211771,1213148
81,978895,978905
82,1279768,1359393
83,1389054,1315887
84,399062,1113881
85,1012265,726131
86,1159533,1157149
87,1140751,1344397
88,1031903,1031519
89,1097286,1096917
90,1135643,768361
91,1368884,1369252
92,586273,1240306
93,991383,880545
94,655657,1027171
95,1137508,1137105
96,489053,1217806
97,1158982,1160653
98,1072212,1072214
99,946636,947925
100,1142413,1205553
101,1017757,793745
102,1070587,1084617
103,949368,931171
104,1376068,1376313
105,1076322,1076485
106,956041,830762
107,654909,1351125
108,1235740,1236990
109,934327,795666
110,1311639,1113432
111,850792,1313486
112,685143,1075146
113,1142413,1167059
114,1320998,1321269
115,1183239,1121915
116,1058441,745579
117,1113138,880545
118,1221982,1188997
119,1226087,854155
120,938162,992448
121,635790,860407
122,224294,945369
123,1156661,1158006
124,832105,1011462
125,1399746,1399964
126,1231321,749562
127,1196653,1196758
128,945436,945530
129,1300271,1279484
130,1310600,1309755
131,620884,1280186
132,826878,907379
133,1142413,1309113
134,710084,1097018
135,328077,225834
136,1140751,1388435
137,962549,845251
138,1140751,1217109
139,1097947,934623
140,1052772,1053143
141,1301802,1301380
142,1141784,1157911
143,-2,1325279
144,557059,1043705
145,1405219,1405265
146,465479,1042195
147,782681,979504
148,634795,907376
149,745579,1078500
150,922019,1065519
151,1331536,1318547
152,1306371,1305569
153,1382350,823887
154,1235122,1235893
155,976624,978528
156,1036399,1158387
157,1037499,1216086
158,1344301,1397250
159,667199,1041794
160,850122,1081757
161,1149465,784745
162,625262,1078265
163,1005127,441438
164,1160473,1161056
165,1184228,839336
166,1059945,1235506
167,1174228,1174229
168,1059138,1059319
169,604700,1049885
170,989975,990025
171,973110,952625
172,1124003,717447
173,1346040,1346305
174,1279120,1132373
175,1403723,1403721
176,1140751,1202435
177,1344260,935911
178,991028,824210
179,963350,963345
180,1140751,1404465
181,1064967,570679
182,922019,1035853
183,1260081,1316803
184,1051293,985695
185,1095785,1096021
186,1080379,1079374
187,1165497,1165494
188,980464,576546
189,1265946,1176895
190,1020850,778109
191,1136605,1136609
192,1393500,1198152
193,738195,1082547
194,771595,1050968
195,935734,950149
196,710084,1197941
197,809789,1034355
198,1064966,911581
