,0,1
0,180198988,181669923
1,184225084,164432079
2,183205769,141935227
3,78242989,177926944
4,146131900,106266251
5,145608240,133237394
6,180788050,180778739
7,171292509,180217189
8,175865602,178874977
9,184232765,184276501
10,185782894,185976142
11,181071890,139530884
12,176213897,185699325
13,184771575,184809242
14,181014201,158595407
15,183915344,183913584
16,183009697,183012624
17,101503439,184480721
18,180276210,181584361
19,182028009,182030712
20,181944424,181931297
21,180862409,180858918
22,182514885,182508607
23,175626299,112872557
24,178609926,157034141
25,179144297,179145434
26,180637963,172576134
27,182761091,180249916
28,164756080,183177612
29,154230817,183891308
30,184447190,175411369
31,145180813,165833764
32,178465686,178487533
33,185498775,185477110
34,180296127,180494915
35,183145261,182885377
36,46555048,121742302
37,186781884,183173249
38,181568680,180935131
39,179089537,186628365
40,139857862,42099457
41,183581016,183567411
42,182497725,182703058
43,75847825,177217817
44,180623575,180238218
45,177973375,183219611
46,180121534,180121535
47,184133462,183734867
48,184791555,184287270
49,139918285,180083803
50,185985428,185951030
51,154159387,185829125
52,119778363,161587733
53,181527073,157854221
54,185000872,186175247
55,178410841,178642240
56,184525372,184534082
57,186499429,186502460
58,162142141,174987111
59,179672903,179661093
60,178550488,178539671
61,185174754,185161653
62,186551934,186548289
63,185556405,172996899
64,179864370,179819086
65,181259503,181259513
66,165787237,185010073
67,184646439,183774991
68,185540157,176600687
69,65994559,137939943
70,184281139,184327918
71,139921268,129248496
72,153562335,153637584
73,185182480,185174154
74,160483657,182806682
75,138991001,179429888
76,179941449,179935993
77,178558120,118445943
78,177160647,141610858
79,139792716,163676533
80,166754875,184039766
81,138752309,183188681
82,185897423,185801725
83,182048195,179079507
84,186397433,186434515
85,180006465,180006466
86,87894501,184004343
87,132252731,179340376
88,185299363,163477116
89,183297021,183326880
90,181680694,182883160
91,182719021,182723550
92,186267196,174391176
93,152267471,177870896
94,180401137,156508132
95,182030709,182036065
96,180307297,180312406
97,186230930,186156332
98,92802340,183391678
99,183582586,183484134
100,54566781,180981881
101,177194774,178279188
102,184676398,184072405
103,185106049,185112190
104,135774372,185033125
105,181240197,181353316
106,180870528,180872252
107,183870770,183869743
108,48254245,164789562
109,185334994,184711065
110,177336289,180585601
111,65994793,184643272
112,186591458,186677349
113,186865613,162450695
114,180145729,180096806
115,169717645,158849685
116,184838109,184840772
117,186207391,186134989
118,88435839,180215229
119,186661042,186721586
120,183495861,183510673
121,143856478,186671403
122,152802619,161984753
123,179623566,179625673
124,173464764,185294092
125,152741334,181070114
126,160977062,175106135
127,150865439,183638925
128,128819593,63103118
129,162065237,182558248
130,148620914,184107728
131,169428703,181154694
132,179008789,179042550
133,180959916,181029100
134,177689348,27838137
135,181258885,180383838
136,186667566,186563412
137,186772123,142626649
138,176748516,184457300
139,178934521,178940040
140,179674419,179674420
141,181076368,181087192
142,183734858,183588420
143,172611641,185464922
144,180335024,169266030
145,183994994,185425381
146,171195412,179844049
147,181071890,149733134
148,178144083,179377904
149,70086288,126103563
150,180167394,179554873
151,178434996,178453155
152,184168355,184158066
153,178274311,183176030
154,178509636,178660068
155,182464350,182453679
156,150691836,179548997
157,65996059,180741770
158,184333609,185259336
159,186131856,186158645
160,184271275,184316010
161,185121489,185122399
162,181191701,183147725
163,182573084,182995417
164,183638755,184996084
165,181557527,185652994
166,179373316,186341324
167,136991867,185394213
168,186367043,186388057
169,185644362,185687320
170,180521319,183230121
171,57326612,179466625
172,179840337,179871847
173,179904934,178090677
174,178788584,179018761
175,185141553,185163617
176,180785179,180785823
177,180787377,182339141
178,83713607,166400882
179,179523875,181434121
180,184532160,184560974
181,178625119,178624999
182,183445371,183372954
183,183119743,183124643
184,181955983,181874756
185,179820718,179844700
186,181660033,181666958
187,185797528,185752438
188,185508976,185589692
189,184406944,184372017
190,178842849,180258418
191,112425075,138510024
192,185471545,185194680
193,180991286,181139044
194,91084891,184374409
195,184677924,174523530
196,147321540,186440040
197,140243684,185899156
198,104405509,178978966
199,178432325,182503507
200,118716349,181500981
201,174501834,185405108
202,180467818,180273047
203,93191972,185082158
204,158845399,186488938
205,181466236,168076818
206,186104024,186101390
207,184722317,184530635
208,178663814,89927250
209,181195429,185597072
210,181874680,181967738
211,174888006,179949964
212,148620914,174272237
213,184491974,184296381
214,178555681,179963006
215,65860164,139261507
216,184683280,184683282
217,102088752,148084641
218,170865870,179786681
219,180127998,180462910
220,180146899,180141276
221,152187055,164682045
222,179700406,180743024
223,56812952,186175449
224,178238384,178498729
225,179097676,179188456
226,181237184,115973503
227,185912639,171552325
228,63173772,174870446
229,139287850,180904964
230,183334038,181550258
231,183532983,183510726
232,182291228,89982016
233,182780432,153743208
234,186673216,186503251
235,70589799,184005191
236,180808504,180774283
237,180442365,166582175
238,152035170,179189479
239,184726214,184003596
240,184831940,184807058
241,185426638,185418888
242,147975250,179916251
243,141844173,179706108
244,184059613,184064190
245,156586380,114483426
246,137303054,181434776
247,71027477,124331058
248,146893094,184061984
249,147118528,185164057
250,182303106,182303134
251,177903038,137823744
252,142235956,157109137
253,179393490,179393499
254,165423328,178633197
255,184354601,184197771
256,65072387,178727717
257,183796623,183929921
258,182872138,181320667
259,182963700,159007950
260,165056574,181372634
261,185011668,159366051
262,182879344,182877531
263,37277746,186987553
264,170972956,184672803
265,181290503,181296842
266,175720122,184064747
267,182284758,182326621
268,183136068,183130611
269,80554793,181859029
270,185909687,178062481
271,178510424,178491083
272,149253976,180431967
273,185967671,185958659
274,147118528,186823671
275,140820117,118773803
276,148133520,179370050
277,181538027,181450539
278,165370481,180502684
279,182194307,182274644
280,168971474,187024279
281,185541189,185535386
282,182861817,182888737
283,171652392,147055146
284,62504973,183131801
285,183564090,183562490
286,163334835,158343690
287,180967844,136126650
288,65995991,180682320
289,144084753,183530673
290,121157626,179099118
291,183135374,183915668
292,184387287,184387285
293,62504973,180959206
294,183506185,176729716
295,181781222,182548457
296,182933192,182872228
297,183882548,183870838
298,181006231,184127794
299,182559119,182555962
300,186866631,186863809
301,181616576,181608709
302,180673721,183466126
303,131738891,177371168
304,179601494,179611215
305,182445443,173253579
306,115741317,116078240
307,184563560,184484637
308,166548949,178916791
309,179050912,179040698
310,93100060,183359398
311,184801699,184801697
312,179652519,179657326
313,183276853,159162167
314,182196700,169893802
315,178508391,178504476
316,177424192,184677928
317,158460936,181918858
318,184815807,185706507
319,180298796,180295129
320,185809630,185772935
321,184646292,184174558
322,185307162,186377432
323,113835927,183735180
324,183289702,176867851
325,185664594,182576004
326,179563455,179563454
327,179078265,179365374
328,178838306,158051981
329,166200952,179150159
330,177209776,185203833
331,129280269,183035844
332,167072695,185072625
333,182594432,182452472
