,0,1
0,-2,19209
1,-2,19627
2,744,19102
3,744,18950
4,-2,18819
5,-2,20388
6,-2,20302
7,-2,19453
8,-2,18939
9,-2,19795
10,-2,18974
11,-2,20437
12,-2,19545
13,-2,19244
14,-2,18818
15,-2,20293
16,-2,19183
17,-2,19449
18,-2,20318
19,-2,19211
20,-2,18954
21,-2,18761
22,19796,19705
23,-2,20306
24,-2,19179
25,-2,19066
26,-2,19579
27,-2,19671
28,-2,19732
29,-2,18919
30,-2,18769
31,-2,19623
32,-2,20418
33,-2,19001
34,-2,20361
35,-2,19698
36,-2,20438
37,-2,19345
38,19513,744
39,-2,20164
40,-2,20369
41,-2,18689
42,-2,19982
43,-2,19396
44,-2,18757
45,-2,19441
46,-2,19863
47,-2,19602
48,-2,19074
49,-2,18856
50,-2,20021
51,-2,19187
52,-2,18685
53,-2,20052
54,-2,18764
55,-2,20285
56,-2,19135
57,-2,18718
58,-2,19374
59,744,18487
60,744,19386
61,-2,18811
62,-2,19373
63,-2,19769
64,744,19707
65,-2,20348
66,-2,19919
67,-2,18852
68,-2,19101
69,-2,19561
70,744,18812
71,-2,18899
72,-2,18699
73,-2,19814
74,-2,19266
75,-2,19986
76,-2,19076
77,19796,18125
78,-2,18958
79,-2,20005
80,-2,19685
81,19796,18896
82,-2,19778
83,744,19739
84,-2,20392
85,-2,19874
86,-2,20378
87,-2,19004
88,-2,20122
89,-2,19691
90,-2,19901
91,-2,20458
92,-2,20120
93,-2,19790
94,-2,20404
95,744,18727
96,19796,18123
97,-2,19754
98,-2,19892
99,-2,18860
100,19796,19494
101,-2,18840
102,-2,19809
103,-2,20407
104,-2,19446
105,19796,19548
106,-2,19086
107,-2,19059
108,-2,18765
109,-2,20282
110,-2,19226
111,-2,19193
112,-2,19231
113,-2,19966
114,-2,19839
115,-2,20044
116,-2,19310
117,-2,19467
118,-2,18774
119,-2,19798
120,-2,19574
121,-2,19384
122,-2,19564
123,-2,18844
124,-2,19109
125,-2,19618
126,-2,19203
127,-2,19819
128,-2,20048
129,-2,20012
130,-2,19915
131,-2,19842
132,-2,20403
133,19796,19294
134,-2,20066
135,-2,18713
136,-2,19971
137,-2,18776
138,-2,19654
139,-2,20180
140,-2,18731
141,-2,20270
142,-2,18986
143,-2,20232
144,-2,19709
145,-2,19803
146,-2,18923
147,-2,19110
148,-2,19034
149,-2,19542
150,-2,20149
151,-2,19352
152,-2,19202
153,744,18849
154,-2,19490
155,-2,19044
156,-2,19929
157,19796,18340
158,19796,19184
159,19796,19130
160,-2,19249
161,-2,19759
162,-2,20045
163,-2,19575
164,-2,20124
165,-2,19154
166,18509,18682
167,-2,19138
168,-2,20188
169,-2,19838
170,-2,18972
171,-2,20191
172,-2,19150
173,-2,19611
174,-2,18914
175,-2,19534
176,-2,20465
177,-2,19432
178,-2,19750
179,-2,19223
180,-2,19419
181,-2,19894
182,-2,18979
183,-2,18734
184,-2,19098
185,-2,19785
186,-2,20372
187,744,18725
188,-2,19852
189,19796,18684
190,-2,18732
191,-2,19928
192,19796,18030
193,-2,20448
194,-2,19770
195,-2,20443
196,19796,18247
197,19796,19332
198,-2,19925
199,-2,19029
200,-2,19586
201,-2,18967
202,-2,20295
203,-2,19787
204,-2,19026
205,-2,19699
206,-2,18886
207,-2,19292
208,-2,18934
209,-2,19665
210,-2,19871
211,19796,18495
212,-2,19190
213,-2,19030
214,-2,20366
215,19796,18739
216,-2,20363
217,-2,19540
218,19796,19210
219,-2,19485
220,-2,19599
221,-2,19608
222,744,19187
223,744,19130
224,-2,19327
225,-2,19398
226,-2,20248
227,-2,19114
228,-2,18714
229,-2,19236
230,-2,19670
231,-2,19025
232,-2,19730
233,-2,18680
234,-2,19161
235,-2,18975
236,-2,18985
237,19796,18251
238,-2,20128
239,-2,18905
240,-2,18730
241,-2,19663
242,19796,19057
243,-2,20022
244,-2,19339
245,-2,19805
246,-2,20327
247,-2,19158
248,744,19210
249,744,19779
250,-2,19992
251,-2,20340
252,-2,20311
253,-2,19704
254,-2,19522
255,-2,19700
256,-2,20309
257,19796,18290
258,-2,19828
259,-2,19995
260,-2,19089
261,-2,19221
262,-2,18917
263,-2,20320
264,-2,18922
265,19796,18921
266,-2,19388
267,-2,19978
268,-2,20126
269,-2,20117
270,-2,20416
271,-2,19899
272,-2,19952
273,19796,18727
274,-2,19081
275,-2,19014
276,744,18293
277,-2,19177
278,-2,20255
279,-2,18839
280,-2,19509
281,-2,20070
282,-2,19722
283,-2,20136
284,-2,19592
285,-2,19082
286,-2,19452
287,-2,19695
288,-2,20242
289,-2,19650
290,-2,18842
291,-2,19498
292,-2,19473
293,-2,20286
294,-2,20316
295,-2,19140
296,-2,20225
297,-2,19408
298,-2,18821
299,-2,19406
300,-2,19643
301,-2,19970
302,-2,19994
303,-2,19442
304,-2,20415
305,-2,18848
306,19796,19570
307,19796,18605
308,-2,19454
309,-2,19566
310,-2,19604
311,-2,20207
312,-2,19993
313,-2,19913
314,-2,20083
315,-2,19093
316,-2,19003
317,-2,19717
318,-2,19273
319,-2,20129
320,-2,19922
321,-2,20375
322,-2,18898
323,-2,20224
324,-2,20157
325,-2,19744
326,-2,19514
327,-2,18879
328,-2,18808
329,-2,19504
330,-2,19825
331,-2,20412
332,-2,20171
333,-2,19304
334,-2,19918
335,-2,20216
336,-2,19487
337,-2,18901
338,-2,18910
339,-2,18668
340,-2,19779
341,744,18896
342,-2,18780
343,-2,19496
344,-2,19404
345,-2,20238
346,-2,18885
347,-2,19818
