,0,1
0,-2,47553
1,-2,47730
2,38522,39968
3,44738,42571
4,39431,43265
5,-2,46208
6,42790,44053
7,-2,45031
8,-2,44187
9,41207,47007
10,-2,46776
11,39431,46624
12,-2,47860
13,39431,47714
14,44024,31825
15,-2,46489
16,-2,43802
17,-2,46429
18,45387,43438
19,-2,44947
20,47368,45832
21,-2,44888
22,-2,45314
23,-2,44715
24,-2,44293
25,41207,39911
26,-2,43813
27,44024,31591
28,38522,39673
29,-2,44149
30,-2,46713
31,-2,45884
32,36433,41849
33,-2,46772
34,47368,44907
35,-2,44845
36,-2,47001
37,-2,44772
38,-2,47384
39,46270,44443
40,-2,47831
41,46968,40405
42,47368,44834
43,-2,45470
44,-2,47764
45,-2,44500
46,-2,48098
47,-2,44874
48,44650,36108
49,-2,47200
50,38522,47859
51,44243,42406
52,-2,46037
53,45082,39976
54,-2,46272
55,-2,47159
56,45822,29095
57,-2,44491
58,44024,36196
59,-2,43145
60,-2,45289
61,-2,43534
62,39507,43901
63,-2,43659
64,42790,43699
65,44024,36776
66,-2,44361
67,-2,45645
68,-2,45678
69,44738,44150
70,-2,46749
71,-2,45445
72,-2,44697
73,-2,47070
74,45822,30326
75,-2,48061
76,-2,43682
77,-2,47107
78,-2,44605
79,-2,48121
80,-2,46357
81,-2,44398
82,-2,44769
83,-2,45432
84,-2,47047
85,47368,46935
86,44024,38674
87,44024,37847
88,44024,36547
89,-2,44232
90,-2,46555
91,-2,44034
92,-2,44989
93,-2,43801
94,-2,43332
95,38522,45411
96,-2,44295
97,-2,46316
98,-2,47106
99,-2,43971
100,-2,47668
101,-2,44006
102,-2,47868
103,-2,44401
104,-2,45414
105,-2,46444
106,-2,43679
107,-2,44777
108,-2,46330
109,-2,46575
110,-2,43189
111,44738,44251
112,46092,47874
113,-2,45722
114,44024,34116
115,-2,44893
116,47368,46846
117,-2,45109
118,-2,46727
119,-2,46152
120,44650,33478
121,-2,47711
122,-2,47983
123,-2,44421
124,-2,44542
125,-2,43635
126,-2,47921
127,-2,43254
128,39507,40046
129,-2,43352
130,-2,43310
131,-2,46771
132,-2,46624
133,-2,44981
134,-2,46256
135,43854,39431
136,39507,42930
137,42305,47690
138,-2,45717
139,-2,46936
140,-2,43883
141,-2,44349
142,-2,45790
143,-2,45270
144,-2,45048
145,-2,46916
146,-2,43601
147,-2,43388
148,27619,40291
149,-2,43889
150,44024,36572
151,-2,47652
152,-2,45462
153,44738,44366
154,-2,46142
155,-2,45782
156,44024,34875
157,47368,46884
158,41207,43298
159,-2,46828
160,47535,47210
161,-2,46412
162,46103,45685
163,39507,42902
164,-2,45043
165,-2,43704
166,-2,44326
167,38522,42108
168,-2,47471
169,-2,47807
170,46760,46225
171,-2,45669
172,44650,34630
173,-2,45787
174,-2,45490
175,-2,43953
176,42790,42950
177,-2,47779
178,-2,43888
179,-2,47349
180,-2,44544
181,44650,37377
182,42790,45186
183,-2,45125
184,-2,44536
185,42305,46855
186,46092,46555
187,-2,47342
188,36433,42722
189,46092,44605
190,-2,46902
191,-2,45136
192,-2,43231
193,-2,45398
194,-2,45081
195,42790,43595
196,-2,47628
197,44024,30931
198,-2,44800
199,-2,47326
200,44738,43935
201,-2,47148
202,-2,46480
203,44650,34829
204,36382,45497
205,46103,44487
206,-2,46401
207,-2,44740
208,-2,46488
209,-2,45925
210,-2,43820
211,44024,30646
212,-2,45338
213,44738,43021
214,-2,44714
215,-2,45734
216,39431,44657
217,-2,43471
218,39507,43767
219,-2,44227
220,-2,46645
221,-2,44838
222,-2,45008
223,-2,45653
224,46103,43744
225,-2,43325
226,-2,46583
227,46092,45472
228,44024,32716
229,39507,44137
230,41207,47258
231,46968,33021
232,-2,47011
233,-2,46975
234,43662,45662
235,-2,45083
236,47932,46529
237,44024,37654
238,38522,39259
239,-2,46000
240,-2,43926
241,-2,46560
242,-2,45459
243,-2,46660
244,-2,45452
245,47368,44879
246,38370,44920
247,-2,44413
248,-2,45006
249,-2,44231
250,-2,44925
251,44024,31989
252,46060,46069
253,44650,35558
254,44024,36790
255,-2,43725
256,-2,46155
257,44243,42791
258,-2,44424
259,46529,46886
260,-2,45644
261,-2,44480
262,-2,44117
263,46270,43074
264,39431,45008
265,-2,44324
266,-2,44736
267,-2,47219
268,38370,43794
269,-2,46014
270,-2,45742
271,44650,36284
272,-2,46123
273,-2,45345
274,-2,48124
275,47368,45997
276,42790,45223
277,-2,44942
278,-2,43867
279,-2,46903
280,44650,35344
281,46103,45133
282,-2,47952
283,-2,45635
284,-2,47539
285,-2,45845
286,-2,45658
287,-2,45958
288,39507,43843
289,-2,43319
290,-2,45476
291,-2,48120
292,-2,47176
293,38522,39378
294,-2,46013
295,-2,46679
296,-2,45554
297,-2,44643
298,44024,31608
299,-2,47076
300,-2,46097
301,-2,47752
302,-2,46726
303,-2,43891
304,36433,41863
305,-2,44427
306,-2,46431
307,-2,46202
308,46092,44224
309,-2,46657
310,-2,43923
311,-2,43419
312,-2,44400
313,42790,43455
314,38497,43697
315,-2,43858
316,-2,47285
317,-2,45551
318,-2,45425
319,41207,43163
320,-2,43985
321,-2,47573
322,-2,45939
323,46529,46702
324,-2,43764
325,-2,43878
326,-2,43246
327,-2,44778
328,47182,46375
329,-2,46458
330,38522,39424
331,-2,44378
332,-2,46539
333,-2,43530
334,-2,45431
335,-2,44026
336,43533,27619
337,-2,43484
338,46861,46674
339,47368,46174
340,46103,43575
341,46103,44714
342,-2,47322
343,-2,47736
344,-2,45307
345,-2,45921
346,-2,47449
347,-2,43136
348,39507,43664
349,-2,46631
350,-2,43558
351,-2,46262
352,-2,45288
353,36382,45061
354,-2,43273
355,-2,43474
356,-2,43126
357,46092,47493
358,39507,43156
359,-2,47862
360,-2,44645
361,-2,44684
362,38522,47449
363,-2,43158
364,44024,36249
365,-2,43958
366,47345,36922
367,-2,47208
368,-2,46623
369,-2,45195
370,-2,47235
371,-2,47537
372,-2,46415
373,-2,43761
374,-2,45826
375,-2,47415
376,-2,47505
377,-2,44517
378,-2,46992
379,46103,45327
380,-2,46064
381,47368,45428
382,-2,43849
383,-2,45525
384,-2,45176
385,-2,44003
386,-2,44454
387,-2,46235
388,-2,45689
389,-2,43166
390,46120,43228
391,38522,40962
392,42790,43620
393,44243,42222
394,46529,47032
395,-2,45144
396,-2,44811
397,-2,45536
398,-2,46024
399,-2,46169
400,46060,47312
401,-2,47411
402,44024,31839
403,46642,46092
404,-2,47701
405,-2,46629
406,-2,43309
407,-2,44730
408,-2,48064
409,-2,44291
410,39507,44102
411,-2,46110
412,-2,46397
413,45726,45897
414,38522,41539
415,42790,46962
416,-2,44880
417,46120,44222
418,-2,46753
419,-2,43606
420,-2,47251
421,36433,43203
422,-2,46058
423,-2,45325
424,27619,42061
425,36382,44550
426,36382,42797
427,-2,45247
428,-2,44368
429,39507,44321
430,-2,45828
431,27619,42305
432,-2,45337
433,-2,46652
434,44738,42866
435,-2,47312
436,-2,44865
437,42790,45182
438,-2,47139
439,-2,44433
440,38522,41458
441,38522,40095
442,42790,44784
443,46103,44604
444,44024,30264
445,46529,46526
446,42790,46689
447,-2,47653
448,-2,44706
449,39431,43705
450,47368,46335
451,46120,45836
452,-2,43268
453,-2,44222
454,-2,45858
455,-2,46719
456,46103,44996
457,46060,47157
458,42790,44436
459,-2,43765
460,-2,48051
461,46270,43289
462,39507,43168
463,46092,45746
464,47535,46276
465,-2,43428
466,44738,42919
467,46120,44699
468,44024,32520
469,38370,41650
470,42790,46313
471,45876,31640
472,-2,46119
473,-2,43129
474,-2,44953
475,-2,47379
476,27619,40183
477,45082,36697
478,-2,43276
479,-2,43783
480,-2,46862
481,-2,44717
482,-2,45918
483,-2,45417
484,-2,43654
485,-2,45972
486,-2,45867
487,-2,46141
488,39507,42734
489,47368,45668
490,27619,41471
491,44243,41932
492,-2,48108
493,-2,43892
494,-2,46265
495,-2,45430
496,-2,47431
497,-2,43689
498,-2,44540
499,-2,43645
500,42790,44244
501,44650,33288
502,-2,43289
503,-2,45590
504,-2,46787
505,44738,44208
506,-2,47216
507,36059,44650
508,-2,47870
509,43514,43369
510,44738,42941
511,-2,47122
512,44990,44955
513,44738,44040
514,44024,32914
515,-2,43430
516,-2,45206
517,-2,44177
518,39507,42917
519,-2,46298
520,-2,43170
521,-2,46672
522,44024,30396
523,44024,30253
524,-2,44216
525,-2,47263
526,-2,46768
527,-2,44379
528,-2,45647
529,-2,45700
530,-2,47614
531,44990,45315
532,-2,44971
533,-2,43618
534,-2,45281
535,44024,33232
536,-2,47469
537,-2,44130
538,-2,44236
539,38522,41974
540,46120,44818
541,-2,44441
542,-2,45594
543,44024,31563
544,46270,40957
545,44650,34789
546,-2,43132
547,-2,45555
548,-2,47202
549,-2,47733
550,44024,31423
551,-2,43900
552,45876,36771
553,44650,35201
554,44650,32041
555,-2,45248
556,-2,47222
557,-2,44016
558,-2,44211
559,-2,47517
560,39507,43571
561,39431,42978
562,-2,43239
563,43142,36382
564,-2,47890
565,-2,44334
566,44024,34173
567,-2,45034
568,-2,43228
569,-2,43389
570,38522,45209
571,-2,45864
572,44024,14171
573,44024,40239
574,42790,44166
575,-2,44771
576,-2,44488
577,-2,45376
578,-2,46957
579,42305,42241
580,44024,36053
581,-2,47552
582,-2,47876
583,-2,44375
584,41207,46843
585,-2,46451
586,-2,43279
587,-2,43372
588,46120,42056
589,-2,45932
590,44243,41107
591,-2,45942
592,47368,45419
593,-2,46897
594,45387,40655
595,-2,46585
596,-2,47694
597,-2,44471
598,42790,46576
599,-2,47536
600,-2,43233
601,44024,34127
602,-2,46079
603,-2,45923
604,-2,43593
605,-2,46551
606,44024,36411
607,-2,48111
608,44650,35544
609,46968,31850
610,-2,47262
611,-2,44123
612,-2,45515
613,-2,48093
614,-2,43638
615,-2,45478
616,42790,42896
617,-2,46160
618,39507,43096
619,-2,43897
620,44650,33503
621,-2,44132
622,-2,45618
623,-2,45526
624,42790,44347
625,44024,35761
626,-2,47515
627,-2,47228
628,-2,45447
629,-2,47241
630,-2,45616
631,-2,46782
632,44650,33842
633,-2,48132
634,46529,47299
635,44024,36000
636,38370,41649
637,-2,47310
638,-2,46717
639,27619,41109
640,-2,43671
641,-2,48021
642,38370,46463
643,-2,46019
644,-2,47099
645,-2,45162
646,-2,47957
647,-2,45304
648,45876,30335
649,-2,45070
650,-2,46588
651,-2,47052
652,-2,46852
653,-2,43658
654,-2,45237
655,27619,44017
656,42790,47080
657,-2,45774
658,42790,44083
659,-2,44459
660,-2,47955
