,0,1
0,1645337,1659339
1,1661113,1661500
2,1617770,1617775
3,1702201,1707852
4,569052,1530113
5,907477,1529042
6,1665413,1665415
7,1630637,1298727
8,1606448,1606146
9,1574066,1587644
10,767272,1764980
11,1691647,1691804
12,1424333,1676074
13,1583281,1580348
14,1026202,1725534
15,1735905,1728901
16,1787284,1787609
17,1214621,1468278
18,1663000,1662912
19,1576445,1576443
20,1555501,1555350
21,1444553,514564
22,1687788,1289260
23,1140751,1773106
24,1343845,1688498
25,-2,1422304
26,1570423,1570329
27,1413223,1413059
28,1440771,751507
29,1655076,635773
30,1142413,1459495
31,1733050,1733051
32,1624872,1624507
33,1759396,1758011
34,1463414,1454831
35,1479944,1480377
36,1660546,1777383
37,1457441,1458672
38,1478167,1474917
39,1708507,1612185
40,1542262,1570950
41,1587539,1588516
42,1611782,1611653
43,1595363,1595008
44,907311,1749814
45,1705404,1705007
46,1533382,1743797
47,1215205,1581317
48,1668336,1230336
49,1466848,1259716
50,1502823,1504628
51,1430782,1432187
52,1140751,1620376
53,1300694,1736097
54,328077,1224534
55,1483337,1485741
56,1790638,930000
57,1533382,884301
58,561098,1457598
59,1670337,1669916
60,1603709,1603908
61,1646400,1742676
62,-2,852794
63,1644178,1440156
64,55943,1046048
65,1140751,1432465
66,1673875,1673889
67,1755784,1755783
68,1142413,1514679
69,1142413,1566054
70,1709451,1631367
71,1591087,1591312
72,1746674,1746667
73,1432952,1432597
74,1508602,1509532
75,1594203,1594154
76,762178,1756457
77,1438016,1438015
78,1660795,804382
79,1241433,1665830
80,666375,1599141
81,1491338,1491656
82,1713473,1714091
83,1142413,1568415
84,1686820,1733634
85,1637303,1637304
86,1679577,1443095
87,1643345,1628860
88,1148091,1673794
89,1673569,1653459
90,1696374,1695792
91,1388613,1529529
92,1403167,1017337
93,1706129,1622897
94,1629345,1595001
95,973111,1506894
96,1565727,641580
97,1413326,1573390
98,55943,1390494
99,1644179,1083906
100,399709,1739868
101,1528519,1528524
102,1595728,1373942
103,1463715,1594039
104,1142413,1525964
105,1487041,1717236
106,1140751,1498934
107,1026862,1603886
108,1568573,1348269
109,1142413,1790764
110,1723039,1556462
111,1671158,1675804
112,1281716,1473099
113,1489451,1485372
114,1542800,1543344
115,1140751,1511073
116,1158758,935493
117,810020,1519118
118,1142413,1541768
119,1742450,1779787
120,1699293,1699296
121,1142413,1511600
122,1591164,1593113
123,1664231,1664227
124,1114465,1618634
125,710084,1421132
126,1776309,788357
127,1498209,1496228
128,1580664,791617
129,1574585,1761102
130,1595072,1049756
131,1643824,977229
132,1435388,1435390
133,1140751,1418280
134,1495194,1497379
135,1049117,1487268
136,1115609,1629985
137,1140751,1656827
138,1021333,1640375
139,581298,1791199
140,1142413,1766422
141,1452304,1457689
142,1625014,1178891
143,1490080,1490105
144,1452636,1592192
145,1585933,1586065
146,1728554,1728552
147,1542038,1541907
148,738162,1604692
149,1629395,1629334
150,1613216,1701462
151,947315,1491712
152,1672381,675042
153,1594046,1701182
154,1398152,1426083
155,591915,1469044
156,1681010,1681229
157,1714434,1713573
158,1656584,1655544
159,1142413,1633264
160,1140751,1432011
161,1140751,1596853
162,1474495,1475308
163,914179,1484168
164,1418786,1594635
165,1674783,1674789
166,1581073,1598216
167,511111,1444527
168,1533099,1612746
169,1119773,1508159
170,402851,1382569
171,1626252,1626363
172,1542900,1543377
173,1726286,1726443
174,1407066,1419785
175,1747750,1763588
176,1713542,1741325
177,1488443,1488439
178,1504353,1505020
179,1709702,1709707
180,1679166,1679057
181,1429620,1394174
182,1686048,1686385
183,1693611,630613
184,1140751,1484711
185,55943,944624
186,1581238,1581699
187,1028805,1636317
188,1674769,1643248
189,1430268,1296074
190,1638486,923312
191,1599147,1599328
192,1450603,1450606
193,1723967,1799192
194,1754792,1226108
195,667203,1712673
196,1522205,1521281
197,1605549,1605476
198,1674544,1670079
199,1707794,1713764
200,1491664,1491662
201,1607454,1608539
202,1477713,1479100
203,1471108,1471471
204,-2,1454300
205,1165594,1652372
206,933834,918838
207,799278,1478305
208,1411792,1411782
209,1519073,1481573
210,1359493,1625527
211,1656179,1791514
212,1561810,1564280
213,1518306,1519164
214,1367131,1583897
215,1475474,1476007
216,517878,1789852
217,1721755,1721754
218,1444555,1455815
219,237079,1736510
220,1633019,1633471
221,506865,1645990
222,1668735,773725
223,1114167,1584967
224,1140751,1779212
225,1594381,1594932
226,1142413,1422149
227,1793839,1793584
228,764630,1646586
229,1686820,1733531
230,328077,773641
231,328077,1490718
232,1142413,1559406
233,1422037,1446998
234,1308243,1437611
235,1140751,1773130
236,1676986,590608
237,1436079,1370578
238,1501665,1501674
239,1140751,1562534
240,1140751,1781365
241,726308,1229028
242,1528431,1588764
243,1545029,1545028
244,1640376,1640382
245,1779632,680823
246,1250676,1413732
247,1180667,1485371
248,1787510,1787660
249,1428908,952952
250,1664615,1664616
251,1550693,1655525
252,1461643,1541364
253,1737383,922468
254,1722635,1707998
255,1649363,1738692
256,1152880,1443538
257,753408,1630573
258,1452470,1452279
259,1012070,1799763
260,1140751,1536206
261,1160421,1422053
262,903871,1533379
263,1465854,1465606
264,1546860,1546264
265,1610136,1621894
266,1667789,1667167
267,970093,1438550
268,1719414,1718876
269,1775473,1700977
270,404860,857783
271,1625613,1625946
272,1760807,1592488
273,1484916,1366228
274,622552,1547033
275,1647079,1647384
276,1577517,1577523
277,1281704,1614392
278,1408436,1787064
279,1501068,1501668
280,1764741,1752306
281,857398,1453933
282,822264,1464076
283,1418584,1418394
284,1689795,966523
285,1468796,1468831
286,1461936,1670666
287,1627929,1628193
288,1579994,1119679
289,1752578,221595
290,1691437,1691569
291,1581156,1751072
292,1559016,1559017
293,1233311,1641301
294,1691910,1691934
295,1379802,1635022
296,1439317,1439869
297,1518417,1261204
298,876489,1711283
299,1654305,1654116
300,1741962,1748566
301,1334277,1687115
302,933714,1674130
303,1668719,1671636
304,1639875,1263252
305,1699195,1698317
306,1140751,1527609
307,1685794,1645728
308,1446287,1446178
309,675702,1280485
310,1518593,1534887
311,1451645,1451679
312,1688374,1720126
313,1608159,1608312
314,1796483,1796488
315,1415744,717498
316,1417738,1506263
317,1423372,1223029
318,1502160,365733
319,952314,1419521
320,1797058,1797061
321,1421335,1472170
322,1742212,1741641
323,1523231,1755207
324,1379713,1582592
325,1580119,1580298
326,1482322,1028369
327,1140751,1493829
328,1140751,1449632
329,1424792,1425106
330,1350523,1623099
331,1654749,1654754
332,1492040,1492443
333,978555,1504324
334,1677642,1695088
335,1446136,1445346
336,1595758,1594179
337,1590299,1590736
338,1447484,1637058
339,813902,1549075
340,885373,1514468
341,611765,1595146
342,1449989,1450052
343,1694920,1695005
344,1555379,1556588
345,1683644,1679408
346,1140751,1423602
347,1508599,1700663
348,1026862,1563247
349,1554747,1556424
350,1519085,1519373
351,1761974,1761971
352,1741096,1741093
353,1439847,1447753
354,1475633,1475634
355,1432107,1618976
356,1458234,1458498
357,1795208,1788853
358,1618121,594441
359,1706370,1697191
360,1637776,825200
361,1645222,1046069
362,1148925,1467235
363,1745696,1763806
364,1709332,1709736
365,-2,1779277
366,1179638,1597042
367,1398158,1580268
368,1390366,671688
369,1437236,1464409
370,1448765,1612430
371,1638486,1485978
372,1458664,987324
373,1561038,874641
374,1644647,1644643
375,1463643,1463765
376,1707218,923436
377,328077,1630547
378,1534618,1535039
379,1537224,1626444
380,1774511,1774542
381,1267823,1533204
382,1726562,1055107
383,1591082,1591304
384,930319,1417797
385,1463799,526478
386,1586862,1586034
387,1541087,1540779
388,1500594,1500834
389,1140751,1443352
390,1681878,1684406
391,1681437,1750924
392,1732383,1716485
393,1140751,1602180
394,1485777,1288986
395,976783,1782019
396,1140751,1455684
397,461988,1602541
398,1538940,1538605
399,1493992,1494624
400,1685953,1685050
401,331335,1514867
402,1737112,1741956
403,1642107,1642255
404,1512051,1512023
405,1495349,905058
406,792077,1581470
