,0,1
0,59389809,59328802
1,52620805,53530918
2,60327433,60327403
3,53461670,27107379
4,61454711,61454921
5,59200738,59213310
6,60822147,60821833
7,59961494,59962993
8,41435023,55527566
9,61195957,40541375
10,60583143,60583235
11,55422354,49188603
12,60800421,60801401
13,60330035,44346325
14,62231487,62231464
15,61244145,61243987
16,39856080,60551871
17,60008457,60008388
18,48012408,59112647
19,59222765,59222872
20,59488938,59534653
21,55901022,44234140
22,60923023,60923058
23,61674342,61674391
24,60832449,60832322
25,59687289,59687326
26,59932981,59932611
27,59181748,59184205
28,62016549,62017206
29,59385369,59385406
30,62541175,62551570
31,46231641,61872729
32,59529186,59529184
33,59532545,59532196
34,59531843,51959516
35,45779288,60619049
36,59865924,59866084
37,60012195,60012206
38,59392148,59392117
39,54454935,61766675
40,59694195,59690879
41,61577286,61577544
42,62504973,60965547
43,34903854,61933687
44,60203250,60211822
45,61523870,61525515
46,56689798,57531351
47,59739129,59739931
48,60762393,60762279
49,53316709,42885328
50,59654609,59547733
51,60626299,60626262
52,28759827,62484954
53,41435023,58534337
54,59524819,61975559
55,62308932,56823013
56,62617353,62617376
57,62470225,62475943
58,62195385,62194119
59,49727878,60120760
60,62011177,62010630
61,62418775,62417897
62,62699697,62722028
63,60155038,60161907
64,61915997,61915871
65,62481849,62535706
66,61598093,61598012
67,33415614,59565659
68,61979939,61975459
69,46015116,52080999
70,59819174,59819054
71,60559157,60559286
72,60250014,60275033
73,60261897,60261954
74,62005013,62005123
75,59872682,60013591
76,61595631,61584942
77,59298762,59278475
78,61431581,61431622
79,53127468,22972812
80,24258683,59539132
81,60065767,60057900
82,60382305,60383037
83,60189493,56207552
84,61271356,54498016
85,59998061,60002339
86,59240846,42317641
87,60585377,60579404
88,57199371,62680744
89,59487298,59486779
90,59342427,59338670
91,59397265,59399547
92,62470144,62469270
93,59839503,59840504
94,59322644,59380915
95,59861414,59869045
96,60339859,60339725
97,55154474,61866813
98,59327405,59327465
99,59522536,60737710
100,59323059,59323009
101,59832119,59840303
102,61355556,61355549
103,59869912,59869975
104,61052721,61050982
105,60434292,60435062
106,62141870,62144153
107,52704570,59365192
108,59649503,56097570
109,62166552,62164017
110,59100778,59101029
111,29110728,61224412
112,59140790,59140727
113,61665860,61671419
114,62596469,62363924
115,59798301,59771232
116,59395079,59401682
117,44947394,61314138
118,60949371,60947236
119,60320508,60322708
120,60602487,60603756
121,61591398,61799029
122,61999099,61999131
123,61016552,61028742
124,62589904,62589051
125,62692731,62692444
126,61790134,61798042
127,52346519,24709393
128,15714747,59734462
129,60622833,60622864
130,60270477,60270474
131,61098562,61096675
132,59137492,59137507
133,61648970,61648920
134,59528885,59528790
135,23689968,61584866
136,60629381,60629510
137,61315292,61315255
138,59921553,61470488
139,61169275,61142483
140,61418264,61415262
141,43852022,60586415
142,60294609,60292791
143,62794567,62794576
144,59496309,59497167
145,59299294,25260406
146,60709609,60700758
147,60332296,60332332
148,60255254,43471253
149,61791144,61790931
150,22308353,57639602
151,60287765,60288375
152,62363924,62609330
153,62015588,62016100
154,61644212,61644237
155,60614741,60619446
156,61375994,61376034
157,62030874,62037315
158,60031069,50817023
159,60890262,60889387
160,46721524,61334482
161,60332627,60333158
162,61052653,61059309
163,61803548,61803531
164,41435023,59129333
165,59158221,59159923
166,59311396,32694684
167,61637346,61637422
168,61627192,61612643
169,59809127,59806385
170,60686377,60666421
171,61245445,61245394
172,62466460,62486993
173,60863670,60868808
174,61203184,61202007
175,45432123,59561675
176,61100115,28212567
177,61203969,61569098
178,61538843,62393512
179,60047214,60045516
180,60215356,60213174
181,59935426,59932146
182,62658857,62658885
183,61907310,61141735
184,60236099,41387488
185,60366527,60387454
186,58947978,59793265
187,60196758,60200756
188,59913495,59912541
189,59158215,59158140
190,59307732,59307126
191,56880396,59074949
192,61060047,61059974
193,49445144,58771742
194,61358535,61358717
195,52256070,58418193
196,59713290,59712190
197,55616098,61885214
198,60422666,60424383
199,60520649,60520914
200,35778456,60985908
201,62481447,62553741
202,59247362,59247340
203,60492215,60498839
204,60526389,60610843
205,62231640,62237125
206,61661222,61661103
207,61633648,61636580
208,61705075,61705051
